Date,Open,High,Low,Close*,Adj Close**,Volume
12/02/2024,76.60,77.09,75.54,76.92,76.92,"302,612"
09/02/2024,76.42,77.29,75.93,76.84,76.84,"302,612"
08/02/2024,74.08,76.59,73.56,76.22,76.22,"377,906"
07/02/2024,73.50,74.22,73.23,73.86,73.86,"294,955"
06/02/2024,72.76,73.82,72.38,73.31,73.31,"310,955"
05/02/2024,72.75,73.28,71.41,72.78,72.78,"350,843"
02/02/2024,73.91,74.52,71.79,72.28,72.28,"467,768"
01/02/2024,75.96,76.95,73.70,73.82,73.82,"577,936"
31/01/2024,77.84,78.11,75.52,75.85,75.85,"344,493"
30/01/2024,77.02,78.14,75.85,77.82,77.82,"347,242"
29/01/2024,78.90,79.29,76.41,76.78,76.78,"331,925"
26/01/2024,77.15,78.26,76.06,78.01,78.01,"365,456"
25/01/2024,75.30,77.51,75.16,77.36,77.36,"320,177"
24/01/2024,74.57,75.83,73.94,75.09,75.09,"323,726"
23/01/2024,74.68,75.25,73.41,74.37,74.37,"306,060"
22/01/2024,73.41,75.75,72.89,75.19,75.19,"372,284"
19/01/2024,74.08,74.91,73.20,73.41,73.41,"78,234"
18/01/2024,72.78,74.38,72.18,74.08,74.08,"86,646"
17/01/2024,72.00,72.95,70.50,72.56,72.56,"315,679"
16/01/2024,72.63,73.56,71.23,72.40,72.40,"430,437"
15/01/2024,72.63,72.93,71.23,72.50,72.50,"403,636"
12/01/2024,73.01,75.25,72.36,72.68,72.68,"403,636"
11/01/2024,71.33,73.81,71.17,72.02,72.02,"373,645"
10/01/2024,72.17,73.59,71.01,71.37,71.37,"352,772"
09/01/2024,70.91,72.93,70.47,72.24,72.24,"363,445"
08/01/2024,73.51,73.95,70.13,70.77,70.77,"392,249"
05/01/2024,72.40,74.24,72.21,73.81,73.81,"325,525"
04/01/2024,73.04,74.00,71.06,72.19,72.19,"344,467"
03/01/2024,70.50,73.23,69.28,72.70,72.70,"334,861"
02/01/2024,71.71,73.64,70.06,70.38,70.38,"330,992"
29/12/2023,71.99,72.62,71.25,71.65,71.65,"214,486"
28/12/2023,73.80,74.40,71.72,71.77,71.77,"262,748"
27/12/2023,75.32,75.66,73.77,74.11,74.11,"253,323"
26/12/2023,73.56,76.18,73.13,75.57,75.57,"208,715"
22/12/2023,73.91,74.98,73.39,73.56,73.56,"222,600"
21/12/2023,73.81,74.58,72.44,73.89,73.89,"251,982"
20/12/2023,74.06,75.37,73.60,74.22,74.22,"273,364"
19/12/2023,72.48,74.01,71.85,73.44,73.44,"230,042"
18/12/2023,71.68,74.26,70.64,72.47,72.47,"73,941"
15/12/2023,71.61,72.22,70.30,71.43,71.43,"95,513"
14/12/2023,69.85,72.46,69.54,71.58,71.58,"275,688"
13/12/2023,68.73,69.89,67.71,69.47,69.47,"306,996"
12/12/2023,71.43,71.96,68.22,68.61,68.61,"324,530"
11/12/2023,71.15,71.81,70.35,71.32,71.32,"274,414"
08/12/2023,69.76,71.63,69.50,71.23,71.23,"302,250"
07/12/2023,69.28,70.48,68.80,69.34,69.34,"339,000"
06/12/2023,72.10,72.60,69.11,69.38,69.38,"436,803"
05/12/2023,73.30,74.12,72.02,72.32,72.32,"358,703"
04/12/2023,74.58,75.03,72.63,73.04,73.04,"388,832"
01/12/2023,75.59,76.76,73.93,74.07,74.07,"358,976"
30/11/2023,77.75,79.60,75.05,75.96,75.96,"559,169"
29/11/2023,76.56,78.09,75.67,77.86,77.86,"322,170"
28/11/2023,75.07,77.02,74.64,76.41,76.41,"286,618"
27/11/2023,75.31,76.23,74.06,74.86,74.86,"289,562"
24/11/2023,76.79,77.09,75.07,75.54,75.54,"281,147"
23/11/2023,76.79,76.81,75.30,76.35,76.35,"389,325"
22/11/2023,77.77,77.97,73.79,77.10,77.10,"389,325"
21/11/2023,77.65,77.92,76.92,77.77,77.77,"238,629"
20/11/2023,75.65,78.22,75.65,77.60,77.60,"270,638"
17/11/2023,72.97,75.99,72.75,75.89,75.89,"101,484"
16/11/2023,76.60,76.63,72.16,72.90,72.90,"125,165"
15/11/2023,78.17,78.77,76.31,76.66,76.66,"282,301"
14/11/2023,78.53,79.77,77.79,78.26,78.26,"263,002"
13/11/2023,77.15,78.64,76.21,78.26,78.26,"262,903"
10/11/2023,75.59,77.73,75.31,77.17,77.17,"266,998"
09/11/2023,75.65,77.16,75.21,75.74,75.74,"303,430"
08/11/2023,77.12,77.53,74.91,75.33,75.33,"429,647"
07/11/2023,80.93,81.05,77.09,77.37,77.37,"396,289"
06/11/2023,81.13,82.24,80.66,80.82,80.82,"271,131"
02/11/2023,82.58,83.60,80.10,80.51,80.51,"457,281"
01/11/2023,80.82,82.83,80.22,82.46,82.46,"307,122"
