,,,,,,
Date,Open,High,Low,Close*,Adj Close**,Volume
12/02/2024,76.54,77.00,75.49,76.83,76.83,"140,086"
09/02/2024,76.32,77.17,75.88,76.77,76.77,"229,891"
08/02/2024,74.12,76.49,73.65,76.19,76.19,"229,891"
07/02/2024,73.53,74.25,73.29,73.91,73.91,"133,421"
06/02/2024,72.81,73.88,72.48,73.37,73.37,"123,619"
05/02/2024,72.70,73.30,71.49,72.85,72.85,"151,301"
02/02/2024,73.90,74.46,71.84,72.30,72.30,"216,059"
01/02/2024,75.54,76.75,73.68,73.79,73.79,"238,838"
31/01/2024,77.66,77.91,75.38,75.71,75.71,"104,936"
30/01/2024,76.75,77.95,75.73,77.65,77.65,"118,709"
29/01/2024,78.72,79.09,76.30,76.67,76.67,"103,543"
26/01/2024,77.10,78.09,75.92,77.86,77.86,"135,877"
25/01/2024,75.30,77.32,75.05,77.19,77.19,"89,275"
24/01/2024,74.47,75.70,73.85,74.98,74.98,"100,358"
23/01/2024,74.62,75.10,73.35,74.27,74.27,"107,719"
22/01/2024,73.46,75.26,72.49,74.65,74.65,"125,300"
19/01/2024,73.79,74.44,72.88,73.12,73.12,"127,457"
18/01/2024,72.63,74.05,72.04,73.83,73.83,"128,686"
17/01/2024,72.15,72.79,70.71,72.46,72.46,"141,520"
16/01/2024,72.80,73.76,71.52,72.58,72.58,"111,813"
15/01/2024,72.80,73.13,71.52,72.65,72.65,"99,534"
12/01/2024,73.33,75.26,72.59,72.88,72.88,"99,534"
11/01/2024,71.49,73.80,71.32,72.17,72.17,"97,190"
10/01/2024,72.24,73.51,71.18,71.50,71.50,"78,240"
09/01/2024,71.24,73.00,70.74,72.33,72.33,"76,547"
08/01/2024,73.67,73.96,70.34,71.02,71.02,"81,190"
05/01/2024,72.56,74.31,72.38,73.87,73.87,"78,925"
04/01/2024,73.31,74.19,71.37,72.46,72.46,"80,090"
03/01/2024,70.94,73.47,69.79,73.03,73.03,"75,317"
02/01/2024,72.08,73.92,70.54,70.82,70.82,"51,785"
29/12/2023,72.41,72.93,71.66,72.01,72.01,"25,617"
28/12/2023,74.26,74.78,72.10,72.14,72.14,"42,706"
27/12/2023,75.53,75.88,74.20,74.51,74.51,"34,734"
26/12/2023,73.93,76.37,73.48,75.79,75.79,"22,358"
22/12/2023,74.17,75.15,73.67,73.84,73.84,"33,372"
21/12/2023,74.09,74.88,72.84,74.18,74.18,"42,647"
20/12/2023,74.52,75.69,74.09,74.62,74.62,"50,911"
19/12/2023,73.50,74.91,72.77,74.44,74.44,"33,690"
18/12/2023,72.68,75.02,71.59,73.35,73.35,"32,269"
15/12/2023,72.48,73.04,71.18,72.31,72.31,"37,275"
14/12/2023,70.66,73.12,70.38,72.45,72.45,"44,883"
13/12/2023,69.42,70.65,68.57,70.24,70.24,"34,491"
12/12/2023,72.01,72.56,69.03,69.31,69.31,"46,064"
11/12/2023,71.65,72.29,70.98,71.92,71.92,"22,831"
08/12/2023,70.42,72.07,70.16,71.69,71.69,"27,599"
07/12/2023,70.12,71.09,69.57,70.00,70.00,"29,132"
06/12/2023,72.64,73.07,69.91,70.12,70.12,"47,428"
05/12/2023,73.80,74.60,72.56,72.80,72.80,"49,435"
04/12/2023,74.86,75.09,73.14,73.68,73.68,"61,865"
01/12/2023,75.53,76.52,74.14,74.28,74.28,"42,007"
30/11/2023,77.57,79.36,75.03,75.85,75.85,"57,591"
29/11/2023,76.62,77.97,75.89,77.86,77.86,"29,494"
28/11/2023,75.44,77.08,75.01,76.59,76.59,"39,839"
27/11/2023,75.80,76.39,74.47,75.20,75.20,"18,823"
24/11/2023,76.69,77.13,75.34,75.75,75.75,"19,659"
23/11/2023,76.69,76.77,75.41,76.39,76.39,"28,277"
22/11/2023,77.72,77.89,73.94,77.08,77.08,"28,277"
21/11/2023,77.40,77.82,76.93,77.74,77.74,"13,373"
20/11/2023,75.45,78.15,75.45,77.68,77.68,"20,742"
17/11/2023,73.40,76.06,73.14,75.97,75.97,"20,809"
16/11/2023,76.37,76.59,72.65,73.27,73.27,"28,632"
15/11/2023,77.42,77.93,76.30,76.56,76.56,"19,358"
14/11/2023,77.69,78.76,77.00,77.49,77.49,"17,616"
13/11/2023,76.30,77.73,75.56,77.51,77.51,"13,335"
10/11/2023,75.01,76.95,75.01,76.43,76.43,"20,060"
09/11/2023,74.91,76.32,74.59,75.18,75.18,"24,858"
08/11/2023,76.41,76.75,74.48,74.74,74.74,"26,645"
07/11/2023,79.36,79.36,76.30,76.46,76.46,"20,216"
06/11/2023,79.27,80.64,79.23,79.66,79.66,"17,921"
02/11/2023,80.64,81.50,78.69,79.07,79.07,"18,289"
01/11/2023,79.07,80.80,78.73,80.72,80.72,"19,875"
31/10/2023,79.40,80.88,78.55,78.67,78.67,"16,646"
30/10/2023,80.05,80.75,78.81,78.93,78.93,"19,836"
29/10/2023,81.80,81.96,79.31,79.78,79.78,"13,102"
26/10/2023,80.93,82.61,80.55,82.36,82.36,"11,042"
25/10/2023,82.20,82.41,80.11,80.63,80.63,"17,486"
24/10/2023,80.77,82.56,79.65,82.41,82.41,"18,536"
23/10/2023,82.35,82.41,79.98,80.73,80.73,"23,236"
22/10/2023,83.45,83.71,81.70,81.76,81.76,"8,846"
19/10/2023,84.10,84.66,83.12,83.54,83.54,"12,175"
18/10/2023,83.07,84.54,81.80,83.77,83.77,"17,392"
17/10/2023,82.39,84.09,82.39,83.23,83.23,"12,518"
16/10/2023,81.63,82.45,80.81,81.71,81.71,"9,502"
