,,,,,,
Date,Open,High,Low,Close*,Adj Close**,Volume
12/02/2024,71.53,72.13,71.54,72.11,72.11,"3,832,778"
09/02/2024,71.94,72.28,71.10,71.67,71.67,"2,761,600"
08/02/2024,70.27,71.60,70.22,71.52,71.52,"6,147,400"
07/02/2024,68.94,69.43,68.70,69.42,69.42,"5,234,200"
06/02/2024,68.65,69.10,68.12,68.81,68.81,"4,413,400"
05/02/2024,67.83,68.59,66.85,68.18,68.18,"3,284,500"
02/02/2024,68.03,68.36,67.19,67.51,67.51,"5,654,700"
01/02/2024,71.59,71.99,68.96,69.07,69.07,"13,358,700"
31/01/2024,72.32,72.37,70.66,70.92,70.92,"5,073,700"
30/01/2024,72.00,73.10,71.72,72.81,72.81,"3,559,200"
29/01/2024,72.43,72.45,71.48,72.05,72.05,"3,444,900"
26/01/2024,71.98,73.19,71.13,73.10,73.10,"4,822,100"
25/01/2024,71.48,72.45,71.02,72.23,72.23,"4,979,600"
24/01/2024,69.97,70.88,69.66,70.54,70.54,"4,857,600"
23/01/2024,69.34,70.33,69.12,69.66,69.66,"3,164,800"
22/01/2024,68.88,70.50,68.72,69.69,69.69,"4,992,500"
19/01/2024,69.41,69.72,68.21,68.82,68.82,"4,629,800"
18/01/2024,68.36,69.31,67.79,69.06,69.06,"4,685,900"
17/01/2024,66.48,67.96,66.28,67.94,67.94,"4,463,000"
16/01/2024,68.09,68.25,67.11,67.25,67.25,"4,904,800"
12/01/2024,69.38,69.81,67.57,68.02,68.02,"7,191,500"
11/01/2024,68.35,68.92,67.11,67.65,67.65,"7,436,400"
10/01/2024,68.27,68.68,66.34,66.56,66.56,"6,307,700"
09/01/2024,67.30,67.95,66.71,67.39,67.39,"4,394,100"
08/01/2024,66.07,66.49,65.54,66.40,66.40,"6,270,300"
05/01/2024,68.83,69.32,68.36,69.03,69.03,"4,995,400"
04/01/2024,68.19,68.39,66.40,67.57,67.57,"5,001,000"
03/01/2024,66.92,68.36,66.72,68.19,68.19,"7,136,800"
02/01/2024,67.56,67.56,65.48,65.77,65.77,"7,908,600"
29/12/2023,67.68,67.75,66.63,66.65,66.65,"3,301,800"
28/12/2023,68.35,68.94,66.97,67.18,67.18,"5,754,500"
27/12/2023,70.02,70.17,68.90,68.92,68.92,"3,785,600"
26/12/2023,70.52,71.10,70.11,70.21,70.21,"4,996,900"
22/12/2023,69.63,69.96,68.49,68.69,68.69,"4,299,800"
21/12/2023,68.13,69.08,68.13,69.03,69.03,"3,290,400"
20/12/2023,70.15,70.30,68.66,68.79,68.79,"5,252,100"
19/12/2023,68.30,69.43,68.26,69.36,69.36,"4,039,100"
18/12/2023,68.89,69.58,67.55,68.09,68.09,"5,558,900"
15/12/2023,67.19,67.32,65.88,67.15,67.15,"3,451,100"
14/12/2023,66.95,67.80,66.90,67.16,67.16,"5,062,800"
13/12/2023,64.42,65.35,64.34,65.33,65.33,"3,575,200"
12/12/2023,64.93,65.06,63.84,64.25,64.25,"7,103,800"
11/12/2023,66.50,67.03,65.98,66.80,66.80,"2,589,200"
08/12/2023,66.11,66.90,65.92,66.53,66.53,"4,055,200"
07/12/2023,65.65,65.74,64.35,65.11,65.11,"4,561,900"
06/12/2023,65.98,66.35,64.61,64.76,64.76,"9,506,200"
05/12/2023,68.74,69.24,67.47,67.58,67.58,"4,833,500"
04/12/2023,68.66,69.77,67.87,68.47,68.47,"5,104,000"
01/12/2023,70.93,71.59,69.04,69.24,69.24,"4,353,000"
30/11/2023,73.50,74.21,70.03,70.14,70.14,"9,702,200"
29/11/2023,72.12,72.87,70.60,72.52,72.52,"4,573,000"
28/11/2023,70.64,71.83,70.24,71.26,71.26,"2,508,200"
27/11/2023,70.30,71.09,69.54,69.96,69.96,"4,633,000"
24/11/2023,70.95,71.86,70.75,70.82,70.82,"1,453,900"
22/11/2023,69.28,71.90,68.81,71.61,71.61,"5,283,900"
21/11/2023,72.06,72.59,71.75,72.53,72.53,"2,543,500"
20/11/2023,72.18,73.07,71.94,72.30,72.30,"3,985,400"
17/11/2023,69.14,70.95,69.14,70.75,70.75,"5,921,000"
16/11/2023,69.61,69.71,67.45,68.05,68.05,"6,745,900"
15/11/2023,71.81,72.38,71.18,71.34,71.34,"5,002,800"
14/11/2023,73.23,74.04,72.36,72.69,72.69,"2,688,500"
13/11/2023,71.81,72.96,71.77,72.92,72.92,"3,075,600"
10/11/2023,71.31,72.22,71.12,71.79,71.79,"3,754,400"
09/11/2023,70.75,71.66,70.14,70.25,70.25,"4,327,700"
08/11/2023,71.27,71.67,69.65,70.19,70.19,"7,264,500"
07/11/2023,72.99,73.15,71.61,71.80,71.80,"7,413,600"
06/11/2023,75.89,76.09,74.77,74.91,74.91,"2,764,300"
03/11/2023,75.29,76.41,74.14,74.85,74.85,"5,052,600"
02/11/2023,74.91,76.53,74.79,76.18,76.18,"4,191,600"
