Date,Data
01/01/2004,	30.02
01/02/2004,	30.24
01/03/2004,	30.21
01/04/2004,	31.67
01/05/2004,	31.95
01/06/2004,	33.66
01/07/2004,	34.96
01/08/2004,	39.04
01/09/2004,	37.24
01/10/2004,	43.61
01/11/2004,	40.05
01/12/2004,	36.35
01/01/2005,	37.49
01/02/2005,	39.27
01/03/2005,	45.12
01/04/2005,	46.38
01/05/2005,	43.78
01/06/2005,	47.19
01/07/2005,	51.85
01/08/2005,	55.06
01/09/2005,	58.82
01/10/2005,	55.22
01/11/2005,	52.31
01/12/2005,	51.63
01/01/2006,	54.86
01/02/2006,	54.25
01/03/2006,	54.72
01/04/2006,	56.43
01/05/2006,	61.72
01/06/2006,	62.2
01/07/2006,	64.23
01/08/2006,	64.72
01/09/2006,	57.99
01/10/2006,	51.19
01/11/2006,	50.43
01/12/2006,	53.01
01/01/2007,	47.64
01/02/2007,	49.87
01/03/2007,	52.74
01/04/2007,	57.05
01/05/2007,	59.98
01/06/2007,	61.01
01/07/2007,	66.59
01/08/2007,	64.48
01/09/2007,	70.35
01/10/2007,	75.01
01/11/2007,	78.31
01/12/2007,	82.6
01/01/2008,	83.78
01/02/2008,	87.3
01/03/2008,	92.87
01/04/2008,	100.54
01/05/2008,	109.85
01/06/2008,	121.24
01/07/2008,	125.75
01/08/2008,	120.38
01/09/2008,	100.15
01/10/2008,	84.49
01/11/2008,	65.95
01/12/2008,	42.98
01/01/2009,	37.21
01/02/2009,	36.06
01/03/2009,	43.37
01/04/2009,	44.92
01/05/2009,	50.22
01/06/2009,	60.39
01/07/2009,	61.58
01/08/2009,	64.71
01/09/2009,	66.5
01/10/2009,	68.3
01/11/2009,	70.78
01/12/2009,	72.61
01/01/2010,	73.03
01/02/2010,	74.42
01/03/2010,	73.98
01/04/2010,	77.28
01/05/2010,	75.98
01/06/2010,	73.57
01/07/2010,	72.66
01/08/2010,	72.56
01/09/2010,	73.27
01/10/2010,	76.3
01/11/2010,	79.72
01/12/2010,	83.71
01/01/2011,	87.58
01/02/2011,	90.37
01/03/2011,	104.39
01/04/2011,	113.39
01/05/2011,	110.5
01/06/2011,	105.13
01/07/2011,	108.62
01/08/2011,	105.79
01/09/2011,	106.74
01/10/2011,	110.41
01/11/2011,	110.84
01/12/2011,	110.73
01/01/2012,	105.42
01/02/2012,	108.62
01/03/2012,	115.55
01/04/2012,	117.7
01/05/2012,	111.33
01/06/2012,	99.04
01/07/2012,	93.49
01/08/2012,	95.34
01/09/2012,	105.08
01/10/2012,	102.99
01/11/2012,	101.39
01/12/2012,	101.87
01/01/2013,	105.7
01/02/2013,	106.83
01/03/2013,	108.79
01/04/2013,	106.43
01/05/2013,	101.23
01/06/2013,	99.39
01/07/2013,	100.06
01/08/2013,	104.09
01/09/2013,	104.22
01/10/2013,	100.19
01/11/2013,	92.49
01/12/2013,	92.48
01/01/2014,	91.99
01/02/2014,	101.11
01/03/2014,	100.6
01/04/2014,	100.08
01/05/2014,	97.26
01/06/2014,	99.79
01/07/2014,	99.86
01/08/2014,	95.54
01/09/2014,	93.28
01/10/2014,	84.57
01/11/2014,	85.47
01/12/2014,	65.79
01/01/2015,	48.22
01/02/2015,	44.9
01/03/2015,	45.35
01/04/2015,	55.9
01/05/2015,	56.27
01/06/2015,	61.07
01/07/2015,	51.65
01/08/2015,	43.76
01/09/2015,	40.47
01/10/2015,	41.32
01/11/2015,	37.03
01/12/2015,	32.9
01/01/2016,	27.73
01/02/2016,	23.93
